ticker,tau,model,auc_va,auc_te,thr,Sharpe_strat,Sharpe_bh,MaxDD_strat,MaxDD_bh,Coverage,Trades
AAPL,0.001,logreg,0.48593897970107464,0.474127606855255,0.6,0.7880060282019136,0.7388533974324405,-0.0010000000000000009,-0.2339359593938365,0.003205128205128205,2
AAPL,0.002,xgb,0.570127765064836,0.478415559772296,0.59,-0.30992380804114794,0.8769862255502195,-0.12700300974136547,-0.20200593830978775,0.28865979381443296,97
BTC-USD,0.0,logreg,0.5107022849462366,0.5038411753828568,0.58,0.9692224335920552,1.1645604194977586,-0.0227142136455043,-0.29427951914102646,0.030737704918032786,16
BTC-USD,0.0,xgb,0.5379536290322581,0.5657874829794745,0.535,1.8850168682909814,1.1645604194977586,-0.21833023451664813,-0.29427951914102646,0.5942622950819673,163
MSFT,0.002,logreg,0.510738896433781,0.46641772215774335,0.55,0.9675634252194354,1.34069909233698,-0.09322816555461011,-0.14525671293792097,0.2553191489361702,90
MSFT,0.002,xgb,0.48121321865097333,0.5140535903517183,0.55,1.2838481694648172,1.34069909233698,-0.1541698984476635,-0.14525671293792097,0.5070921985815603,92
SPY,0.001,logreg,0.46888320545609546,0.4393853427895981,0.565,1.005887231987702,1.2166626714015718,-0.021720718380706217,-0.10012231662751492,0.07216494845360824,32
SPY,0.002,xgb,0.5224516129032258,0.5414819099029625,0.57,0.9375453309576055,1.7086513202334657,-0.0888159318126358,-0.10132259248117259,0.644,106
