ticker,tau,model,auc_va,auc_te,thr,Sharpe_strat,Sharpe_bh,MaxDD_strat,MaxDD_bh,Coverage,Trades
AAPL,0.0,logreg,0.4892830215775679,0.45720317755671647,0.5599999999999999,-0.545248316931462,0.6973100995412997,-0.08619949233313351,-0.23375518678495588,0.041791044776119404,24
AAPL,0.0,xgb,0.5394751014253403,0.4614613898232305,0.595,-0.5412658976597792,0.6973100995412997,-0.1669536438981769,-0.23375518678495588,0.2656716417910448,92
AAPL,0.001,logreg,0.48593897970107464,0.474127606855255,0.6,0.7880060282019136,0.7388533974324405,-0.0010000000000000009,-0.2339359593938365,0.003205128205128205,2
AAPL,0.001,xgb,0.5425124552229588,0.46107784431137727,0.58,-0.8162167519200012,0.7388533974324405,-0.1827440809051193,-0.2339359593938365,0.34615384615384615,116
AAPL,0.002,logreg,0.5018115942028986,0.4614326375711575,0.585,-0.9609282008455352,0.8769862255502195,-0.031219220410960702,-0.20200593830978775,0.003436426116838488,2
AAPL,0.002,xgb,0.570127765064836,0.478415559772296,0.59,-0.30992380804114794,0.8769862255502195,-0.12700300974136547,-0.20200593830978775,0.28865979381443296,97
SPY,0.0,logreg,0.4867339245323663,0.45491539944313564,0.55,0.1306016367197517,0.9810055483441164,-0.04635749620629093,-0.1288300140415689,0.14029850746268657,52
SPY,0.0,xgb,0.4869493411840735,0.4753337616905833,0.515,0.4118969450675352,0.9810055483441164,-0.11524861847173007,-0.1288300140415689,0.6268656716417911,133
SPY,0.001,logreg,0.46888320545609546,0.4393853427895981,0.565,1.005887231987702,1.2166626714015718,-0.021720718380706217,-0.10012231662751492,0.07216494845360824,32
SPY,0.001,xgb,0.48474945533769065,0.44992907801418436,0.5,0.17745248274501782,1.2166626714015718,-0.11025528524738726,-0.10012231662751492,0.697594501718213,99
SPY,0.002,logreg,0.46438709677419354,0.4412955465587045,0.5549999999999999,-0.3424573773832379,1.7086513202334657,-0.07444764054258013,-0.10132259248117259,0.128,46
SPY,0.002,xgb,0.5224516129032258,0.5414819099029625,0.57,0.9375453309576055,1.7086513202334657,-0.0888159318126358,-0.10132259248117259,0.644,106
MSFT,0.0,logreg,0.47287461006131454,0.4541166380789022,0.52,-0.021412655643957786,1.1065154509867308,-0.17561489135738273,-0.19651231176479378,0.44477611940298506,100
MSFT,0.0,xgb,0.5138943669547134,0.5160091480846198,0.515,0.8514308565751956,1.1065154509867308,-0.1591742248918595,-0.19651231176479378,0.5492537313432836,124
MSFT,0.001,logreg,0.5081172253847775,0.45590167408349225,0.525,0.8198385207713643,1.4440698544283002,-0.0972824640075044,-0.14525671293792086,0.39935064935064934,104
MSFT,0.001,xgb,0.5093400801180687,0.5168044077134987,0.5,1.0826297594755405,1.4440698544283002,-0.1796151389097782,-0.14525671293792086,0.5714285714285714,88
MSFT,0.002,logreg,0.510738896433781,0.46641772215774335,0.55,0.9675634252194354,1.34069909233698,-0.09322816555461011,-0.14525671293792097,0.2553191489361702,90
MSFT,0.002,xgb,0.48121321865097333,0.5140535903517183,0.55,1.2838481694648172,1.34069909233698,-0.1541698984476635,-0.14525671293792097,0.5070921985815603,92
BTC-USD,0.0,logreg,0.5107022849462366,0.5038411753828568,0.58,0.9692224335920552,1.1645604194977586,-0.0227142136455043,-0.29427951914102646,0.030737704918032786,16
BTC-USD,0.0,xgb,0.5379536290322581,0.5657874829794745,0.535,1.8850168682909814,1.1645604194977586,-0.21833023451664813,-0.29427951914102646,0.5942622950819673,163
BTC-USD,0.001,logreg,0.5136121812511466,0.5082253148753351,0.58,0.94561566563226,0.9369811082011519,-0.024081843542093195,-0.33959418723421464,0.03854389721627409,18
BTC-USD,0.001,xgb,0.5240689781691432,0.5486358462159879,0.515,0.21124029778277573,0.9369811082011519,-0.3982794772556124,-0.33959418723421464,0.6423982869379015,155
BTC-USD,0.002,logreg,0.5274484509695518,0.5032835699135259,0.595,0.8167824688550736,0.9878671564696034,-0.022339524368838015,-0.357104176646561,0.024830699774266364,14
BTC-USD,0.002,xgb,0.5201588959190777,0.5183961494534182,0.545,0.36343488737818663,0.9878671564696034,-0.4339004206582271,-0.357104176646561,0.6117381489841986,165
