feature,perm_importance
ret10,0.0009250464588065055
macd,-0.004480693784844119
rsi14,-0.006487714226718988
volz,-0.008279991740656634
ret1,-0.010175511046871765
macd_signal,-0.012971298781746837
ret5,-0.019364030559570512
vol10,-0.0221969853396655
