tau,dead_zone,pos_rate_val,pos_rate_test,AUC_val,PR_val,Brier_val,LogLoss_val,AUC_test,PR_test,Brier_test,LogLoss_test
0.001,True,0.5224358974358975,0.5352564102564102,0.48589780541030186,0.506001802738306,0.25163649498833335,0.6964293350297052,0.474127606855255,0.5207692880973132,0.2535116318079743,0.7002843773326376
0.001,False,0.4940119760479042,0.5014925373134328,0.48197955890263583,0.47918759017393353,0.2517127993058003,0.6965854763936515,0.47166381522668943,0.49037373487853175,0.25293607412784186,0.6990780971672569
0.002,True,0.5241379310344828,0.5326460481099656,0.5018115942028986,0.5299100437645243,0.25056840731153796,0.6942771528049172,0.4614326375711575,0.5068196427570302,0.2538064972578298,0.7008783387146043
0.002,False,0.45808383233532934,0.47761194029850745,0.5037735167731918,0.4530133767224136,0.2511411200538027,0.6954535243332519,0.5000714285714285,0.4778473700590755,0.2519557161003078,0.6971214853608162
0.003,True,0.5390334572490706,0.5296296296296297,0.4932146829810901,0.5283174976174858,0.2520027961909593,0.6971792585155739,0.4771763669401465,0.5196716444975282,0.25334608240710343,0.6999972775226632
0.003,False,0.437125748502994,0.4388059701492537,0.47985281259108126,0.41918843170858716,0.25314959261666947,0.6995011111429082,0.48686495874945734,0.43446941602039046,0.252303253727352,0.6978077857753112
0.004,True,0.5338645418326693,0.5198412698412699,0.4762724837351703,0.516776664664179,0.25291517459212276,0.6990105464545056,0.46741530502807394,0.5085925982285262,0.2536873232228283,0.7006776211615976
0.004,False,0.40718562874251496,0.40298507462686567,0.46349524658348196,0.3762885660460852,0.25699271643984023,0.7073466895513894,0.4656666666666667,0.3917925603638483,0.25511024848352143,0.7034947230566554
