group,removed,val_AUC,delta
trend,3,0.46324060192126154,-0.01099450274862579
interactions,6,0.466600033316675,-0.0076350713532123415
zscore,3,0.4709867288577933,-0.0032483758120940287
price_core,5,0.4736104170137153,-0.0006246876561720183
seasonality,2,0.474915320117719,0.0006802154478316447
ta,3,0.4752346049197623,0.000999500249874996
volatility,5,0.47695596646121385,0.002720861791326523
market_ctx,3,0.4913931922927425,0.017158087622855145
