month,AUC,Sharpe,TotalReturn,N
2016-03,1.0,10.51768120671371,0.1189441861825129,22.0
2016-04,0.9807692307692308,9.157270124582675,0.06139397623400544,21.0
2016-05,1.0,10.646119766420613,0.1410662844867543,21.0
2016-06,1.0,10.571077873619481,0.07421945427244436,22.0
2016-07,1.0,7.1178281164814905,0.13867559139788943,20.0
2016-08,1.0,9.947865306227415,0.08266421341349606,23.0
2016-09,1.0,10.552877027100088,0.16968619308853405,21.0
2016-10,1.0,8.510814545319361,0.05282126708386792,21.0
2016-11,1.0,8.462107054440178,0.08416138869742129,21.0
2016-12,0.989795918367347,10.426990169191846,0.07762063923494744,21.0
2017-01,0.9791666666666666,8.962384275331177,0.05372086013917521,20.0
2017-02,1.0,8.01019701619674,0.13723371120844186,19.0
2017-03,1.0,8.390217981797608,0.08069924488694169,23.0
2017-04,1.0,7.942373532474404,0.03752795051871072,19.0
2017-05,1.0,11.019828981997092,0.12942488622814707,22.0
2017-06,1.0,8.579278845803803,0.0862825172424142,22.0
2017-07,1.0,13.45108790223338,0.07856605814419027,20.0
2017-08,1.0,11.62125359818832,0.1871853349421273,23.0
2017-09,1.0,7.386428657031429,0.0544306329718971,20.0
2017-10,1.0,10.140516389659158,0.13876195012383863,22.0
2017-11,1.0,10.649015582073963,0.11090374444561357,21.0
2017-12,1.0,7.219352292985726,0.05003404840425074,20.0
2018-01,1.0,8.825403928036307,0.06754295479392791,21.0
2018-02,1.0,11.7708646973672,0.21851280381215554,19.0
2018-03,1.0,6.94046500692743,0.10301265438231955,21.0
2018-04,1.0,13.176225079923984,0.12631170375855238,21.0
2018-05,0.9916666666666667,9.143978372746158,0.16995660452275585,22.0
2018-06,1.0,9.311422480330185,0.06371172168681327,21.0
2018-07,1.0,11.704887230687897,0.0920857014975176,21.0
2018-08,1.0,10.790976073195276,0.22520820466539915,23.0
2018-09,1.0,9.82791473584859,0.1066496803466015,19.0
2018-10,1.0,11.977967823027296,0.19163614410263263,23.0
2018-11,1.0,9.166662119374834,0.14737810935092477,21.0
2018-12,1.0,6.892236125792384,0.14995659321509192,19.0
2019-01,1.0,9.96308038898792,0.2575158102949928,21.0
2019-02,1.0,9.12614638719421,0.08517823019002813,19.0
2019-03,1.0,11.828278200163487,0.1738554020705505,21.0
2019-04,1.0,11.883281743744588,0.10127890800591666,21.0
2019-05,1.0,6.867440640817202,0.11270493083128685,22.0
2019-06,1.0,12.26636223981564,0.18664308210755287,20.0
2019-07,1.0,13.661566672153423,0.14267567343870047,22.0
2019-08,1.0,11.452834648754159,0.1987532485967729,22.0
2019-09,1.0,11.759212359366343,0.1494793493397879,20.0
2019-10,0.9916666666666667,13.09383862577585,0.1858703524440828,23.0
2019-11,1.0,11.153607872079125,0.11433171876997394,20.0
2019-12,1.0,14.279221855823938,0.14607674671144988,21.0
2020-01,1.0,13.02687100627378,0.18039900595410185,21.0
2020-02,1.0,9.186172886807512,0.1108112149090501,19.0
2020-03,1.0,10.204929883976797,0.6953329764816802,22.0
2020-04,1.0,10.972477156413868,0.36675200803379204,21.0
2020-05,1.0,13.24026529025259,0.15213187647488113,20.0
2020-06,1.0,15.856421289830788,0.27765512013658844,22.0
2020-07,1.0,8.082596623272776,0.2839324539907804,22.0
2020-08,1.0,13.668865612753208,0.3095179901348113,21.0
2020-09,1.0,11.740137956474713,0.26500339353455615,21.0
2020-10,0.9914529914529915,8.68432831712636,0.2102948315842772,22.0
2020-11,1.0,10.768773117957283,0.19014844030846922,20.0
2020-12,1.0,10.079710240189018,0.21540139688323734,22.0
2021-01,1.0,11.52265262758326,0.20088550477882117,19.0
2021-02,1.0,5.845608805878141,0.048143617592067534,19.0
2021-03,1.0,9.687508643663142,0.22760657118681382,23.0
2021-04,1.0,12.421889855215776,0.16243651485305466,21.0
2021-05,1.0,10.132411326809095,0.09980602716278342,20.0
2021-06,1.0,13.465030822858616,0.14340309444271004,22.0
2021-07,1.0,13.056736207663684,0.16107206687910014,21.0
2021-08,1.0,9.383181680141965,0.11077827701781251,22.0
2021-09,1.0,10.622967730930899,0.07234587545923854,21.0
2021-10,1.0,12.32799682379818,0.12895965072059723,21.0
2021-11,0.9888888888888889,12.3165537635118,0.1740473607829376,21.0
2021-12,1.0,11.248053050450837,0.20911131030132846,22.0
2022-01,1.0,6.661608187597411,0.1488526148423972,20.0
2022-02,1.0,9.497792829316952,0.08868201258416009,19.0
2022-03,1.0,13.330317028564858,0.2513416985912822,23.0
2022-04,1.0,7.799953467973287,0.11776977777549735,20.0
2022-05,1.0,11.205537649449992,0.25421742141034986,21.0
2022-06,1.0,11.994169708425284,0.17544685678527538,21.0
2022-07,1.0,16.1814658644434,0.2599101912959698,20.0
2022-08,1.0,7.579115769659637,0.11751057021262246,23.0
2022-09,1.0,9.091625312800506,0.13091463869758257,21.0
2022-10,1.0,10.489589271527,0.2957281815755446,21.0
2022-11,1.0,7.376973794983885,0.22541508907681584,21.0
2022-12,1.0,7.796413644690937,0.09025871329726143,21.0
2023-01,1.0,14.161037685099311,0.195634917062534,20.0
2023-02,1.0,10.440870746700384,0.14025993851983043,19.0
2023-03,1.0,14.768591973859117,0.21601427158917308,23.0
2023-04,1.0,8.095589950334862,0.09749241814340359,19.0
2023-05,1.0,7.180241858229591,0.10841821031349297,22.0
2023-06,1.0,12.696662920233488,0.13441463618208016,21.0
2023-07,1.0,10.25354764337024,0.06561277099821972,20.0
2023-08,1.0,10.566791554773067,0.11875391452040307,23.0
2023-09,1.0,11.1295474777583,0.06537187889940088,20.0
