year,AUC,Brier,PosRate
2023,0.4876632801161103,0.2520248051779071,0.5760869565217391
2024,0.5308578745198463,0.24819193263607592,0.5634920634920635
2025,0.41063829787234046,0.26431657054009555,0.5154639175257731
