feature,coef
mkt_ret1,-0.3626792951545106
close,-0.2386034565947377
vix_chg1,-0.22784459926549072
high,0.15769645365990384
volume,-0.13764318950771717
macd,0.10824913453354278
volz,0.08494434391703864
rsi14,-0.059414836489708994
ret5,0.059357778251611704
ret10,0.048908960599825316
vol10,0.04754754051909474
low,0.04476158724482576
ret1,-0.03943271780199354
macd_signal,-0.03804773692823839
open,-0.017811660894604477
mkt_ret5,-0.0031018856713102565
