model,tau,total_return,CAGR,vol_annual,Sharpe,max_drawdown,hit_rate,turnover
LR,0.59,0.0845813666265578,0.050414525606978344,0.04605617349906656,1.094631224802037,-0.0327449569738123,0.03365384615384615,0.028846153846153848
LR,0.51,0.4913856132863099,0.27395899651949507,0.2658286787887114,1.0305848028430593,-0.3266022563287142,0.3918269230769231,0.1201923076923077
LR,0.52,0.4664610252090686,0.2610188194896452,0.2584668908238171,1.0098733290662272,-0.3091511658961221,0.3581730769230769,0.11057692307692307
LR,0.58,0.12205331335809255,0.07225143194825545,0.07383403873335263,0.9785653499084254,-0.048955311788301925,0.0625,0.07211538461538461
LR,0.62,0.007634634229659598,0.004617891167785881,0.0048335896411418194,0.9553750960735292,-0.0004999999999998339,0.004807692307692308,0.009615384615384616
LR,0.5,0.3751591924470894,0.2128580526739674,0.2731610998363982,0.7792399898867463,-0.33360516168821075,0.43028846153846156,0.1201923076923077
LR,0.61,0.021965700933116006,0.013249113620797281,0.017987679471739192,0.7365660279644871,-0.008664415540279635,0.01201923076923077,0.019230769230769232
LR,0.6,0.030500539671069138,0.018366753100142574,0.03337885220537052,0.5502511886010101,-0.03489690512387311,0.019230769230769232,0.028846153846153848
LR,0.57,0.08211862356120281,0.04896902112940582,0.10944153751916076,0.4474445648283445,-0.12325499662358463,0.0889423076923077,0.11057692307692307
LR,0.53,0.1784048244938512,0.10455671852185944,0.2468778080597322,0.4235160679025548,-0.31495694882445224,0.30288461538461536,0.13942307692307693
LR,0.56,0.06315095628085587,0.03779217748053032,0.1347076688384889,0.2805495619246607,-0.15471752670793026,0.13942307692307693,0.14423076923076922
LR,0.54,-0.0014473807741539613,-0.000877029052465228,0.19278449683733512,-0.004549271683423978,-0.3004260350260596,0.23798076923076922,0.12980769230769232
LR,0.55,-0.1301810980929946,-0.08101620004032184,0.17388544706047077,-0.4659170816758891,-0.29512717555850854,0.1875,0.12980769230769232
