model,split,AUC,PR_AUC,Brier,LogLoss,PosRate
LR,val,0.49197648924756265,0.5178567434331272,0.26295550081594216,0.7218840283686742,0.5325301204819277
LR,test,0.4546146395461464,0.4910013828916415,0.27457821131282034,0.7458781791756817,0.5251798561151079
XGB,val,0.5199654802444371,0.5507879459522369,0.265974830042942,0.7309733019809411,0.5325301204819277
XGB,test,0.5225773718924404,0.5373616400069667,0.2649593462807125,0.7285618925986186,0.5251798561151079
